[TRACE] 23:02:49:626 nivel4/(10013:10013): Personaje a mover &, posicionX 23 posicionY 2
[TRACE] 23:02:49:626 nivel4/(10013:10013): Movimiento personaje: x: 23, y: 2

[TRACE] 23:02:49:727 nivel4/(10013:10013): Personaje a mover &, posicionX 23 posicionY 3
[TRACE] 23:02:49:727 nivel4/(10013:10013): Movimiento personaje: x: 23, y: 3

[TRACE] 23:02:50:469 nivel4/(10013:10014): Deadlock check started.
[TRACE] 23:02:51:27 nivel4/(10013:10013): Personaje a mover #, posicionX 29 posicionY 1
[TRACE] 23:02:51:27 nivel4/(10013:10013): Movimiento personaje: x: 29, y: 1

[TRACE] 23:02:51:128 nivel4/(10013:10013): Personaje a mover #, posicionX 30 posicionY 1
[TRACE] 23:02:51:128 nivel4/(10013:10013): Movimiento personaje: x: 30, y: 1

[TRACE] 23:02:51:229 nivel4/(10013:10013): Personaje a mover #, posicionX 31 posicionY 1
[TRACE] 23:02:51:229 nivel4/(10013:10013): Movimiento personaje: x: 31, y: 1

[TRACE] 23:02:52:429 nivel4/(10013:10013): Recurso a asignar C
[TRACE] 23:02:54:34 nivel4/(10013:10013): Personaje a mover #, posicionX 32 posicionY 1
[TRACE] 23:02:54:34 nivel4/(10013:10013): Movimiento personaje: x: 32, y: 1

[TRACE] 23:02:54:136 nivel4/(10013:10013): Personaje a mover #, posicionX 33 posicionY 1
[TRACE] 23:02:54:136 nivel4/(10013:10013): Movimiento personaje: x: 33, y: 1

[TRACE] 23:02:54:237 nivel4/(10013:10013): Personaje a mover #, posicionX 34 posicionY 1
[TRACE] 23:02:54:237 nivel4/(10013:10013): Movimiento personaje: x: 34, y: 1

[TRACE] 23:02:55:434 nivel4/(10013:10013): Pedido posicion recurso: H
[TRACE] 23:02:55:537 nivel4/(10013:10013): Personaje a mover &, posicionX 24 posicionY 3
[TRACE] 23:02:55:537 nivel4/(10013:10013): Movimiento personaje: x: 24, y: 3

[TRACE] 23:02:55:638 nivel4/(10013:10013): Personaje a mover &, posicionX 25 posicionY 3
[TRACE] 23:02:55:638 nivel4/(10013:10013): Movimiento personaje: x: 25, y: 3

[TRACE] 23:02:55:739 nivel4/(10013:10013): Personaje a mover &, posicionX 26 posicionY 3
[TRACE] 23:02:55:739 nivel4/(10013:10013): Movimiento personaje: x: 26, y: 3

[TRACE] 23:02:57:40 nivel4/(10013:10013): Personaje a mover #, posicionX 35 posicionY 1
[TRACE] 23:02:57:40 nivel4/(10013:10013): Movimiento personaje: x: 35, y: 1

[TRACE] 23:02:57:140 nivel4/(10013:10013): Personaje a mover #, posicionX 36 posicionY 1
[TRACE] 23:02:57:140 nivel4/(10013:10013): Movimiento personaje: x: 36, y: 1

[TRACE] 23:02:57:241 nivel4/(10013:10013): Personaje a mover #, posicionX 37 posicionY 1
[TRACE] 23:02:57:241 nivel4/(10013:10013): Movimiento personaje: x: 37, y: 1

[TRACE] 23:02:58:541 nivel4/(10013:10013): Personaje a mover &, posicionX 27 posicionY 3
[TRACE] 23:02:58:541 nivel4/(10013:10013): Movimiento personaje: x: 27, y: 3

[TRACE] 23:02:58:642 nivel4/(10013:10013): Personaje a mover &, posicionX 28 posicionY 3
[TRACE] 23:02:58:642 nivel4/(10013:10013): Movimiento personaje: x: 28, y: 3

[TRACE] 23:02:58:743 nivel4/(10013:10013): Personaje a mover &, posicionX 29 posicionY 3
[TRACE] 23:02:58:744 nivel4/(10013:10013): Movimiento personaje: x: 29, y: 3

[TRACE] 23:03:00:43 nivel4/(10013:10013): Personaje a mover #, posicionX 38 posicionY 1
[TRACE] 23:03:00:43 nivel4/(10013:10013): Movimiento personaje: x: 38, y: 1

[TRACE] 23:03:00:144 nivel4/(10013:10013): Personaje a mover #, posicionX 39 posicionY 1
[TRACE] 23:03:00:144 nivel4/(10013:10013): Movimiento personaje: x: 39, y: 1

[TRACE] 23:03:00:245 nivel4/(10013:10013): Personaje a mover #, posicionX 40 posicionY 1
[TRACE] 23:03:00:245 nivel4/(10013:10013): Movimiento personaje: x: 40, y: 1

[TRACE] 23:03:00:470 nivel4/(10013:10014): Deadlock check started.
[TRACE] 23:03:01:547 nivel4/(10013:10013): Personaje a mover &, posicionX 30 posicionY 3
[TRACE] 23:03:01:547 nivel4/(10013:10013): Movimiento personaje: x: 30, y: 3

[TRACE] 23:03:01:648 nivel4/(10013:10013): Personaje a mover &, posicionX 31 posicionY 3
[TRACE] 23:03:01:648 nivel4/(10013:10013): Movimiento personaje: x: 31, y: 3

[TRACE] 23:03:01:750 nivel4/(10013:10013): Personaje a mover &, posicionX 32 posicionY 3
[TRACE] 23:03:01:750 nivel4/(10013:10013): Movimiento personaje: x: 32, y: 3

[TRACE] 23:03:03:53 nivel4/(10013:10013): Personaje a mover #, posicionX 41 posicionY 1
[TRACE] 23:03:03:53 nivel4/(10013:10013): Movimiento personaje: x: 41, y: 1

