[TRACE] 23:04:10:652 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 14

[TRACE] 23:04:10:754 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 13
[TRACE] 23:04:10:754 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 13

[TRACE] 23:04:10:855 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 12
[TRACE] 23:04:10:855 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 12

[TRACE] 23:04:12:156 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 11
[TRACE] 23:04:12:156 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 11

[TRACE] 23:04:12:257 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 10
[TRACE] 23:04:12:257 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 10

[TRACE] 23:04:12:358 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 9
[TRACE] 23:04:12:358 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 9

[TRACE] 23:04:13:657 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 8
[TRACE] 23:04:13:657 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 8

[TRACE] 23:04:13:759 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 7
[TRACE] 23:04:13:759 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 7

[TRACE] 23:04:13:861 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 6
[TRACE] 23:04:13:861 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 6

[TRACE] 23:04:15:159 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 5
[TRACE] 23:04:15:159 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 5

[TRACE] 23:04:15:260 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 4
[TRACE] 23:04:15:260 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 4

[TRACE] 23:04:15:362 nivel3/(10010:10010): Personaje a mover @, posicionX 17 posicionY 3
[TRACE] 23:04:15:362 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 3

[TRACE] 23:04:16:560 nivel3/(10010:10010): Recurso a asignar R
[TRACE] 23:04:18:63 nivel3/(10010:10010): Pedido posicion recurso: B
[TRACE] 23:04:18:164 nivel3/(10010:10010): Personaje a mover @, posicionX 16 posicionY 3
[TRACE] 23:04:18:164 nivel3/(10010:10010): Movimiento personaje: x: 16, y: 3

[TRACE] 23:04:18:265 nivel3/(10010:10010): Personaje a mover @, posicionX 15 posicionY 3
[TRACE] 23:04:18:265 nivel3/(10010:10010): Movimiento personaje: x: 15, y: 3

[TRACE] 23:04:18:366 nivel3/(10010:10010): Personaje a mover @, posicionX 14 posicionY 3
[TRACE] 23:04:18:366 nivel3/(10010:10010): Movimiento personaje: x: 14, y: 3

[TRACE] 23:04:18:633 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:04:19:666 nivel3/(10010:10010): Personaje a mover @, posicionX 13 posicionY 3
[TRACE] 23:04:19:666 nivel3/(10010:10010): Movimiento personaje: x: 13, y: 3

[TRACE] 23:04:19:768 nivel3/(10010:10010): Personaje a mover @, posicionX 12 posicionY 3
[TRACE] 23:04:19:768 nivel3/(10010:10010): Movimiento personaje: x: 12, y: 3

[TRACE] 23:04:19:869 nivel3/(10010:10010): Personaje a mover @, posicionX 11 posicionY 3
[TRACE] 23:04:19:869 nivel3/(10010:10010): Movimiento personaje: x: 11, y: 3

[TRACE] 23:04:21:169 nivel3/(10010:10010): Personaje a mover @, posicionX 10 posicionY 3
[TRACE] 23:04:21:169 nivel3/(10010:10010): Movimiento personaje: x: 10, y: 3

[TRACE] 23:04:21:270 nivel3/(10010:10010): Personaje a mover @, posicionX 9 posicionY 3
[TRACE] 23:04:21:270 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 3

[TRACE] 23:04:21:372 nivel3/(10010:10010): Personaje a mover @, posicionX 9 posicionY 4
[TRACE] 23:04:21:372 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 4

[TRACE] 23:04:22:672 nivel3/(10010:10010): Personaje a mover @, posicionX 9 posicionY 5
[TRACE] 23:04:22:672 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 5

[TRACE] 23:04:22:672 nivel3/(10010:10010): Recurso a asignar B
[TRACE] 23:04:22:673 nivel3/(10010:10010): Personaje @ termina.
[TRACE] 23:04:28:634 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:04:38:634 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:04:48:636 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:04:58:636 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:05:04:772 nivel3/(10010:10010): Acepto Personaje: en Socket: 6
[TRACE] 23:05:04:772 nivel3/(10010:10010): Pedido posicion recurso: B
[TRACE] 23:05:04:874 nivel3/(10010:10010): Personaje a mover &, posicionX 2 posicionY 1
[TRACE] 23:05:04:874 nivel3/(10010:10010): Movimiento personaje: x: 2, y: 1

[TRACE] 23:05:04:975 nivel3/(10010:10010): Personaje a mover &, posicionX 3 posicionY 1
[TRACE] 23:05:04:975 nivel3/(10010:10010): Movimiento personaje: x: 3, y: 1

[TRACE] 23:05:05:76 nivel3/(10010:10010): Personaje a mover &, posicionX 4 posicionY 1
[TRACE] 23:05:05:76 nivel3/(10010:10010): Movimiento personaje: x: 4, y: 1

[TRACE] 23:05:06:177 nivel3/(10010:10010): Personaje a mover &, posicionX 5 posicionY 1
[TRACE] 23:05:06:178 nivel3/(10010:10010): Movimiento personaje: x: 5, y: 1

[TRACE] 23:05:06:279 nivel3/(10010:10010): Personaje a mover &, posicionX 6 posicionY 1
[TRACE] 23:05:06:279 nivel3/(10010:10010): Movimiento personaje: x: 6, y: 1

[TRACE] 23:05:06:381 nivel3/(10010:10010): Personaje a mover &, posicionX 7 posicionY 1
[TRACE] 23:05:06:382 nivel3/(10010:10010): Movimiento personaje: x: 7, y: 1

[TRACE] 23:05:07:181 nivel3/(10010:10010): Personaje a mover &, posicionX 8 posicionY 1
[TRACE] 23:05:07:181 nivel3/(10010:10010): Movimiento personaje: x: 8, y: 1

[TRACE] 23:05:07:281 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 1
[TRACE] 23:05:07:281 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 1

[TRACE] 23:05:07:384 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 2
[TRACE] 23:05:07:384 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 2

[TRACE] 23:05:08:182 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 3
[TRACE] 23:05:08:182 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 3

[TRACE] 23:05:08:285 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 4
[TRACE] 23:05:08:285 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 4

[TRACE] 23:05:08:386 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 5
[TRACE] 23:05:08:386 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 5

[TRACE] 23:05:08:636 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:05:09:83 nivel3/(10010:10010): Recurso a asignar B
[TRACE] 23:05:10:84 nivel3/(10010:10010): Pedido posicion recurso: T
[TRACE] 23:05:10:186 nivel3/(10010:10010): Personaje a mover &, posicionX 10 posicionY 5
[TRACE] 23:05:10:186 nivel3/(10010:10010): Movimiento personaje: x: 10, y: 5

[TRACE] 23:05:10:288 nivel3/(10010:10010): Personaje a mover &, posicionX 11 posicionY 5
[TRACE] 23:05:10:288 nivel3/(10010:10010): Movimiento personaje: x: 11, y: 5

[TRACE] 23:05:10:388 nivel3/(10010:10010): Personaje a mover &, posicionX 12 posicionY 5
[TRACE] 23:05:10:388 nivel3/(10010:10010): Movimiento personaje: x: 12, y: 5

[TRACE] 23:05:11:186 nivel3/(10010:10010): Personaje a mover &, posicionX 13 posicionY 5
[TRACE] 23:05:11:186 nivel3/(10010:10010): Movimiento personaje: x: 13, y: 5

[TRACE] 23:05:11:287 nivel3/(10010:10010): Personaje a mover &, posicionX 14 posicionY 5
[TRACE] 23:05:11:287 nivel3/(10010:10010): Movimiento personaje: x: 14, y: 5

[TRACE] 23:05:11:388 nivel3/(10010:10010): Personaje a mover &, posicionX 15 posicionY 5
[TRACE] 23:05:11:388 nivel3/(10010:10010): Movimiento personaje: x: 15, y: 5

[TRACE] 23:05:12:187 nivel3/(10010:10010): Personaje a mover &, posicionX 16 posicionY 5
[TRACE] 23:05:12:187 nivel3/(10010:10010): Movimiento personaje: x: 16, y: 5

[TRACE] 23:05:12:288 nivel3/(10010:10010): Personaje a mover &, posicionX 17 posicionY 5
[TRACE] 23:05:12:288 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 5

[TRACE] 23:05:12:388 nivel3/(10010:10010): Personaje a mover &, posicionX 18 posicionY 5
[TRACE] 23:05:12:389 nivel3/(10010:10010): Movimiento personaje: x: 18, y: 5

[TRACE] 23:05:13:190 nivel3/(10010:10010): Personaje a mover &, posicionX 19 posicionY 5
[TRACE] 23:05:13:191 nivel3/(10010:10010): Movimiento personaje: x: 19, y: 5

[TRACE] 23:05:13:291 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 5
[TRACE] 23:05:13:291 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 5

[TRACE] 23:05:13:392 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 6
[TRACE] 23:05:13:392 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 6

[TRACE] 23:05:14:190 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 7
[TRACE] 23:05:14:190 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 7

[TRACE] 23:05:14:293 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 8
[TRACE] 23:05:14:293 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 8

[TRACE] 23:05:14:393 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 9
[TRACE] 23:05:14:393 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 9

[TRACE] 23:05:15:191 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 10
[TRACE] 23:05:15:191 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 10

[TRACE] 23:05:15:292 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 11
[TRACE] 23:05:15:292 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 11

[TRACE] 23:05:15:393 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 12
[TRACE] 23:05:15:393 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 12

[TRACE] 23:05:16:192 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 13
[TRACE] 23:05:16:192 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 13

[TRACE] 23:05:16:294 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 14
[TRACE] 23:05:16:295 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 14

[TRACE] 23:05:16:396 nivel3/(10010:10010): Personaje a mover &, posicionX 20 posicionY 15
[TRACE] 23:05:16:396 nivel3/(10010:10010): Movimiento personaje: x: 20, y: 15

[TRACE] 23:05:17:93 nivel3/(10010:10010): Recurso a asignar T
[TRACE] 23:05:18:94 nivel3/(10010:10010): Pedido posicion recurso: B
[TRACE] 23:05:18:196 nivel3/(10010:10010): Personaje a mover &, posicionX 19 posicionY 15
[TRACE] 23:05:18:196 nivel3/(10010:10010): Movimiento personaje: x: 19, y: 15

[TRACE] 23:05:18:297 nivel3/(10010:10010): Personaje a mover &, posicionX 18 posicionY 15
[TRACE] 23:05:18:298 nivel3/(10010:10010): Movimiento personaje: x: 18, y: 15

[TRACE] 23:05:18:399 nivel3/(10010:10010): Personaje a mover &, posicionX 17 posicionY 15
[TRACE] 23:05:18:399 nivel3/(10010:10010): Movimiento personaje: x: 17, y: 15

[TRACE] 23:05:18:636 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:05:19:196 nivel3/(10010:10010): Personaje a mover &, posicionX 16 posicionY 15
[TRACE] 23:05:19:196 nivel3/(10010:10010): Movimiento personaje: x: 16, y: 15

[TRACE] 23:05:19:297 nivel3/(10010:10010): Personaje a mover &, posicionX 15 posicionY 15
[TRACE] 23:05:19:297 nivel3/(10010:10010): Movimiento personaje: x: 15, y: 15

[TRACE] 23:05:19:397 nivel3/(10010:10010): Personaje a mover &, posicionX 14 posicionY 15
[TRACE] 23:05:19:398 nivel3/(10010:10010): Movimiento personaje: x: 14, y: 15

[TRACE] 23:05:20:198 nivel3/(10010:10010): Personaje a mover &, posicionX 13 posicionY 15
[TRACE] 23:05:20:198 nivel3/(10010:10010): Movimiento personaje: x: 13, y: 15

[TRACE] 23:05:20:298 nivel3/(10010:10010): Personaje a mover &, posicionX 12 posicionY 15
[TRACE] 23:05:20:298 nivel3/(10010:10010): Movimiento personaje: x: 12, y: 15

[TRACE] 23:05:20:400 nivel3/(10010:10010): Personaje a mover &, posicionX 11 posicionY 15
[TRACE] 23:05:20:400 nivel3/(10010:10010): Movimiento personaje: x: 11, y: 15

[TRACE] 23:05:21:200 nivel3/(10010:10010): Personaje a mover &, posicionX 10 posicionY 15
[TRACE] 23:05:21:200 nivel3/(10010:10010): Movimiento personaje: x: 10, y: 15

[TRACE] 23:05:21:301 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 15
[TRACE] 23:05:21:301 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 15

[TRACE] 23:05:21:402 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 14
[TRACE] 23:05:21:402 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 14

[TRACE] 23:05:22:201 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 13
[TRACE] 23:05:22:201 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 13

[TRACE] 23:05:22:302 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 12
[TRACE] 23:05:22:302 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 12

[TRACE] 23:05:22:403 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 11
[TRACE] 23:05:22:403 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 11

[TRACE] 23:05:23:205 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 10
[TRACE] 23:05:23:205 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 10

[TRACE] 23:05:23:306 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 9
[TRACE] 23:05:23:306 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 9

[TRACE] 23:05:23:407 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 8
[TRACE] 23:05:23:408 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 8

[TRACE] 23:05:24:205 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 7
[TRACE] 23:05:24:205 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 7

[TRACE] 23:05:24:306 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 6
[TRACE] 23:05:24:306 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 6

[TRACE] 23:05:24:408 nivel3/(10010:10010): Personaje a mover &, posicionX 9 posicionY 5
[TRACE] 23:05:24:408 nivel3/(10010:10010): Movimiento personaje: x: 9, y: 5

[TRACE] 23:05:25:105 nivel3/(10010:10010): Recurso bloqueado B
[TRACE] 23:05:28:637 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:05:38:637 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:05:48:638 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:05:58:638 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:06:08:638 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:06:18:639 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:06:28:640 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:06:38:640 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:06:48:641 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:06:58:641 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:07:08:643 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:07:18:643 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:07:28:643 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:07:38:645 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:07:48:646 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:07:58:646 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:08:08:646 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:08:18:648 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:08:28:648 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:08:38:648 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:08:48:650 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:08:58:651 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:09:08:651 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:09:18:652 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:09:28:653 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:09:38:654 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:09:48:654 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:09:58:656 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:10:08:656 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:10:18:657 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:10:28:659 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:10:38:660 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:10:48:661 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:10:58:661 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:11:08:662 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:11:18:662 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:11:28:663 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:11:38:665 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:11:48:666 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:11:58:666 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:12:08:667 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:12:18:668 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:12:28:670 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:12:38:670 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:12:48:671 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:12:58:671 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:13:08:671 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:13:18:672 nivel3/(10010:10011): Deadlock check started.
[TRACE] 23:13:28:673 nivel3/(10010:10011): Deadlock check started.
