[TRACE] 23:03:00:749 nivel2/(10007:10007): Personaje a mover *, posicionX 28 posicionY 19
[TRACE] 23:03:00:749 nivel2/(10007:10007): Movimiento personaje: x: 28, y: 19

[TRACE] 23:03:02:48 nivel2/(10007:10007): Personaje a mover *, posicionX 27 posicionY 19
[TRACE] 23:03:02:48 nivel2/(10007:10007): Movimiento personaje: x: 27, y: 19

[TRACE] 23:03:02:149 nivel2/(10007:10007): Personaje a mover *, posicionX 26 posicionY 19
[TRACE] 23:03:02:149 nivel2/(10007:10007): Movimiento personaje: x: 26, y: 19

[TRACE] 23:03:02:250 nivel2/(10007:10007): Personaje a mover *, posicionX 25 posicionY 19
[TRACE] 23:03:02:250 nivel2/(10007:10007): Movimiento personaje: x: 25, y: 19

[TRACE] 23:03:03:552 nivel2/(10007:10007): Personaje a mover *, posicionX 24 posicionY 19
[TRACE] 23:03:03:552 nivel2/(10007:10007): Movimiento personaje: x: 24, y: 19

[TRACE] 23:03:03:653 nivel2/(10007:10007): Personaje a mover *, posicionX 23 posicionY 19
[TRACE] 23:03:03:653 nivel2/(10007:10007): Movimiento personaje: x: 23, y: 19

[TRACE] 23:03:03:753 nivel2/(10007:10007): Personaje a mover *, posicionX 22 posicionY 19
[TRACE] 23:03:03:754 nivel2/(10007:10007): Movimiento personaje: x: 22, y: 19

[TRACE] 23:03:05:53 nivel2/(10007:10007): Personaje a mover *, posicionX 21 posicionY 19
[TRACE] 23:03:05:53 nivel2/(10007:10007): Movimiento personaje: x: 21, y: 19

[TRACE] 23:03:05:155 nivel2/(10007:10007): Personaje a mover *, posicionX 20 posicionY 19
[TRACE] 23:03:05:155 nivel2/(10007:10007): Movimiento personaje: x: 20, y: 19

[TRACE] 23:03:05:256 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 19
[TRACE] 23:03:05:256 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 19

[TRACE] 23:03:06:555 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 18
[TRACE] 23:03:06:555 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 18

[TRACE] 23:03:06:656 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 17
[TRACE] 23:03:06:657 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 17

